 ,Area,Mean
1,364,255
2,448,255
3,363,255
4,371,255
5,394,255
6,312,255
7,360,255
8,410,255
9,478,255
10,385,255
11,449,255
12,466,255
13,488,255
14,404,255
15,391,255
16,407,255
17,373,255
18,424,255
19,446,255
20,423,255
21,497,255
22,395,255
23,414,255
24,370,255
25,407,255
26,438,255
27,466,255
28,423,255
29,427,255
30,428,255
31,354,255
32,433,255
33,455,255
34,342,255
35,440,255
36,396,255
37,389,255
38,366,255
39,471,255
40,312,255
41,390,255
42,462,255
43,358,255
44,375,255
45,400,255
46,496,255
47,356,255
48,444,255
49,440,255
50,386,255
51,298,255
52,353,255
53,429,255
54,448,255
55,394,255
56,386,255
57,408,255
58,323,255
59,444,255
60,417,255
61,343,255
62,459,255
63,359,255
64,432,255
65,387,255
66,492,255
67,444,255
68,367,255
69,362,255
70,460,255
71,378,255
72,427,255
73,497,255
74,362,255
75,396,255
76,398,255
77,422,255
78,366,255
79,276,255
80,346,255
81,341,255
82,337,255
83,425,255
84,339,255
85,383,255
86,367,255
87,437,255
88,488,255
89,498,255
90,365,255
91,458,255
92,368,255
93,372,255
94,483,255
95,488,255
96,380,255
97,444,255
98,441,255
99,414,255
100,411,255
101,449,255
102,420,255
103,395,255
104,325,255
105,464,255
106,444,255
107,300,255
108,399,255
109,308,255
110,412,255
111,449,255
112,493,255
113,412,255
114,439,255
115,337,255
116,360,255
117,488,255
118,417,255
119,329,255
120,332,255
121,419,255
122,282,255
123,397,255
124,396,255
125,288,255
126,440,255
127,377,255
128,315,255
129,449,255
130,465,255
131,450,255
132,370,255
133,332,255
134,326,255
135,381,255
136,347,255
137,404,255
138,364,255
139,498,255
140,366,255
141,292,255
142,387,255
143,335,255
144,478,255
145,493,255
146,471,255
147,249,255
148,343,255
149,334,255
150,482,255
151,495,255
152,414,255
153,337,255
154,472,255
155,477,255
156,369,255
157,499,255
158,382,255
159,391,255
160,258,255
161,498,255
162,413,255
163,310,255
164,437,255
165,307,255
166,399,255
167,354,255
168,329,255
169,285,255
170,435,255
171,482,255
172,274,255
173,440,255
174,292,255
175,311,255
176,333,255
177,263,255
178,269,255
179,380,255
180,270,255
181,352,255
182,449,255
183,300,255
184,417,255
185,451,255
186,412,255
187,377,255
188,331,255
189,401,255
190,277,255
191,384,255
192,377,255
193,452,255
194,487,255
195,431,255
196,347,255
197,189,255
198,352,255
199,306,255
200,454,255
201,328,255
202,347,255
203,339,255
204,329,255
205,198,255
206,346,255
207,413,255
208,333,255
209,314,255
210,416,255
211,404,255
212,348,255
213,368,255
214,356,255
215,357,255
216,342,255
217,416,255
218,354,255
219,333,255
220,425,255
221,328,255
222,432,255
223,445,255
224,355,255
225,401,255
226,359,255
227,343,255
228,353,255
229,342,255
230,311,255
231,370,255
232,368,255
233,323,255
234,474,255
235,337,255
236,376,255
237,335,255
238,364,255
239,345,255
240,346,255
241,455,255
242,353,255
243,481,255
244,491,255
245,460,255
246,346,255
247,332,255
248,313,255
249,330,255
250,335,255
251,385,255
252,296,255
253,370,255
254,412,255
255,417,255
256,341,255
257,480,255
258,453,255
259,468,255
260,324,255
261,457,255
262,379,255
263,372,255
264,439,255
265,363,255
266,414,255
267,363,255
268,389,255
269,353,255
270,346,255
271,299,255
272,430,255
273,372,255
274,376,255
275,412,255
276,364,255
277,410,255
278,339,255
279,340,255
280,197,255
281,422,255
282,391,255
283,362,255
284,398,255
285,362,255
286,352,255
287,472,255
288,360,255
289,435,255
290,315,255
291,363,255
292,368,255
293,374,255
294,373,255
295,202,255
296,447,255
297,392,255
298,314,255
299,413,255
300,396,255
301,477,255
302,409,255
303,344,255
304,380,255
305,420,255
306,360,255
307,355,255
308,388,255
309,362,255
310,467,255
311,416,255
312,357,255
313,353,255
314,470,255
315,468,255
316,390,255
317,391,255
318,350,255
319,429,255
